ID_Localidades;Localidades;ID_Provincias
228;SANTA FELISA;1
229;LA SOLEDAD;1
230;LA CALDERA;1
231;LOS INDIOS;1
232;LA CONCEPCION;1
233;LA ROJERA;1
234;LA BEBA;1
235;BARRIO LAS MARGARITAS;1
236;LAS CARABELAS;1
237;LAS POLVAREDAS;1
238;LA VUELTA CHICA;1
239;HUNTER;1
240;VILLA MANUEL POMAR;1
241;LA TIGRA;1
242;ROJAS;1
243;ESTACION SOL DE MAYO;1
244;RAFAEL OBLIGADO;1
245;VILLA PARQUE CECIR;1
246;LA VERDE;1
247;SAN BASILIO;1
248;VILLA GENERAL MITRE;22
249;SAN ROQUE;6
250;CERRO PELADO;6
251;AMBOY;6
252;FLORIDA NEGRA;20
253;BELLA VISTA;20
254;EL SALADO;20
255;SUARDI;21
256;COLONIA SAN JOSE;10
257;ALONSO;10
258;VOLCAN DE YACORAITE;10
259;YACORAITE;10
260;HUACALERA;10
261;LA TOMA;19
262;MAQUINCHAO;16
263;CALLE ANGOSTA;1
264;NEWTON;1
265;SAN MARTIN;1
266;CHAS;1
267;GENERAL BELGRANO;1
268;LA VERDE;1
269;GORCHS;1
270;EL DESCANSO;1
271;COLONIA EL SALADO;1
272;LAVALLE;7
273;PUERTO VIEJO;7
274;LA LOMA;7
275;RINCON DE SANTA LUCIA;7
276;RINCON DE SOTO;7
277;ENRIQUE URIEN;4
278;LA VIRUELA;4
279;LA MANUELA;4
280;LA CARLOTA;4
281;CAMPO COLLA;21
282;LAS HIGUERITAS;21
283;CORONEL RODRIGUEZ;21
284;SANTA CLARA DE BUENA VISTA;21
285;EL MOJON;6
286;EL GUANACO;6
287;LA MAZA;6
288;SANTA CATALINA;6
289;LA PIEDRA BLANCA;6
290;AGUA DE ORO;6
291;POZO DE MOLINA;6
292;POZO DEL SIMBOL;6
293;EL JORDAN;6
294;LA BARRANCA;6
295;POZO DE LAS OLLAS;6
296;PUNTA DEL MONTE;6
297;LA VICTORIA;6
298;SAN MIGUEL;6
299;ALTO DE FIERRO;6
300;SANTA ISABEL;6
301;LA PENCA;6
302;SAN ANTONIO;6
303;LA VICTORIA OESTE;6
304;CAMPO GRANDE;6
305;LA VICTORIA E;6
306;3 DE MAYO;14
307;GARUHAPE;14
308;SAN MIGUEL;14
309;PUERTO GARUHAPE;14
310;SALSACATE;6
311;VILLA VISO;6
312;CASA BLANCA;6
313;TANINGA;6
314;PUEBLO VIEJO;6
315;SAN EUSEBIO;6
316;LAS LAGUNITAS;6
317;LA TIGRA;6
318;COLONIA LA VERDE;6
319;COLONIA MARCOS SASTRE;6
320;CAMPO LOS CORRALITOS;6
321;COLONIA EL DORADO;6
322;CAMPO LOS ALGARROBOS;6
323;COLONIA LA CONCORDIA;6
324;SAN MELITON;6
325;CAYUQUEO;6
326;CAMPO COSTA;6
327;COLONIA LA UNION;6
328;LA HERRADURA;6
329;SAN SEVERO;6
330;CAMPO SANTA RITA;6
331;COLONIA 10 DE MAYO;6
332;COLONIA EL BALQUIN;6
333;COLONIA EL PIQUILLIN;6
334;COLONIA CORRAL DEL BAJO;6
335;CAMPO LAS CHACRAS;6
336;CUATRO CAMINOS;6
337;POTRO MUERTO;6
338;EL UCLE;6
339;CORRAL DEL BAJO;6
340;CAMPO VIONNET;6
341;COLONIA PICO CHACO;6
342;RAMON J. CARCANO;6
343;COLONIA LA LOLA;6
344;COLONIA LA CELINA;6
345;COLONIA EL DESCANSO;6
346;CNIA NORTE;6
347;COLONIA ESPERANZA;6
348;COLONIA CORRAL DE GUARDIA;6
349;CAMPO SANTA ELENA;6
350;COLONIA LA LEONCITA;6
351;CAMPO SAN ELIAS;6
352;CAMPO LA LUISITA;6
353;CAMPO LOS GALGOS;6
354;CAMPO CRESPOP BALLESTERS;6
355;CAMPO YANZI;6
356;COLONIA SANTA RITA;6
357;LUCA;6
358;ENRIQUE CARBO;8
359;ALARCON;8
360;GENERAL RACEDO;8
361;CARCEL;10
362;PUNTA CORRAL;10
363;COIRURO;10
364;AGUA BENDITA;10
365;TUMBAYA;10
366;TUMBAYA GRANDE;10
367;LEONES;6
368;EL PALMAR;4
369;GUEMES;4
370;LA ARMONIA;4
371;EL QUEBRACHO;4
372;LOTE 126;4
373;EL DESCANSO;4
374;LA GRINGA;4
375;LOS CIENAGOS;4
376;4 DE FEBRERO;4
377;LOS PEREYRAS;4
378;TORRE DEL MIRADOR;4
379;MONTE CASEROS;4
380;POZO EL ZAPALLAR;4
381;EL MOJO;4
382;CRUCE PENALOZA;4
383;LAS MARGARITAS;4
384;ROSALES;4
385;CENTRAL NORTE;4
386;POZO DE LA PAVA;4
387;LAS CUATRO BOCAS;4
388;EL MILAGRO;4
389;LOS PLACERES;4
390;POZO DE LA MULA;4
391;MANANTIALES;4
392;LA ESMERALDA;4
393;POZO DEL NEGRO;4
394;BALBUENA;4
395;MIRAFLORES;4
396;EL RETIRO;4
397;CAMPO LA CHINA;4
398;LA MEDIA LUNA;4
399;1 DE MAYO;4
400;PASO DE LA CRUZ;4
401;LOTE 76;4
402;SANTA VICTORIA;4
403;PALO MARCADO;4
404;TECHAT;4
405;LOTE 71;4
406;LAS PUERTAS;4
407;POZO LA GRINGA;4
408;EL CANON;4
409;LAS HACHERAS;4
410;LOS QUIRQUINCHOS;4
411;YAPEYU;4
412;LA CHEOGUE;4
413;NUEVA UNION;4
414;BAJADA ALTA;4
415;EL ALGARROBO;4
416;BAJO HONDO;4
417;EL QUEBRACHO BALEADO;4
418;SAN LORENZO;4
419;LOS ROSALES;4
420;LAS CHACRAS;6
421;EL VERGEL;6
422;ESTACION COLONIA TIROLESA;6
423;EL QUEBRACHAL;6
424;COLONIA LOS ALGARROBOS;6
425;LA CORINA;6
426;COLONIA RIO CHICO;6
427;COLONIA TIROLESA;6
428;SANTA ELENA;6
429;LA PUERTA;6
430;LAS AVISPAS;21
431;LABORDEBOY;21
432;GENERAL GELLY;21
433;CAMPO FONDATO;21
434;CAMPO GHIANO;21
435;CAMPO ULLA;21
436;EL TREBOL;21
437;CAMPO RIBERI;21
438;POTRERILLOS;17
439;EL JARDIN;17
440;LOZADA;6
441;SALSIPUEDES;6
442;LA ESTANCITA;6
443;EL PUEBLITO;6
444;LA JAULA;13
445;CAPIZ;13
446;SAN CARLOS;13
447;PAREDITAS;13
448;CHILECITO;13
449;EL PARRAL;13
450;PIEDRAS BLANCAS;13
451;TRES ESQUINAS;13
452;LA CONSULTA;13
453;BARRIO EL CEPILLO;13
454;PASO DE LAS CARRETAS;13
455;EUGENIO BUSTOS;13
456;EL CAPACHO;13
457;BARRIO CARRASCO;13
458;LOS ALAMITOS;13
459;VILLA EL CHACON;13
460;CAMPAMENTO VILLEGAS;5
461;SANTA TERESA;21
462;FRANCISCO PAZ;21
463;CHACHARRAMENDI;11
464;VALLE DAZA;11
465;BARRIO CHIVILCOY;13
466;EL DIVISADERO;13
467;BUEN ORDEN;13
468;MONTECASEROS;13
469;BARRIO LA ESTACION;13
470;CHAPANAY;13
471;BARRIO NTRA. SRA. DE FATIMA;13
472;TRES PORTENAS;13
473;CHIVILCOY;13
474;BARRIO LOS CHARABONES;13
475;ALTO VERDE;13
476;CIUDAD DE SAN MARTIN;13
477;EL RAMBLON;13
478;BARRIO EMANUEL;13
479;VILLA CENTENARIO;13
480;EL ESPINO;13
481;PALMIRA;13
482;NUEVA CALIFORNIA;13
483;TRES ESQUINAS;13
484;ALTO SALVADOR;13
485;COLONIA LAMBARE;13
486;EL RINCON;5
487;EL BLANCO;5
488;EL CAJON;5
489;CHOLILA;5
490;VILLA LAGO RIVADAVIA;5
491;LA PUERTA;6
492;PINTOS;6
493;EL ROSARIO;6
494;LA CUMBRE;6
495;VILLA TERCERA;24
496;EX INGENIO LOS RALOS;24
497;LAS MERCEDES;24
498;VILLA RECASTE;24
499;CAMPO LA FLOR;24
500;RUTA 5 KM 132;1
501;SUIPACHA;1
502;GENERAL RIVAS;1
503;LOS CARDALES;1
504;CUARTEL VIII;1
505;ESTACION LA NEGRA;1
506;LA DULCE;1
507;CUARTEL IX;1
508;CUARTEL IV;1
509;FORTIN ARENALES;21
510;CAMPO BONAZOLA;21
511;LAS TAPERITAS;21
512;LANTERI;21
513;CAMPO SIETE PROVINCIAS;21
514;FLOR DE ORO;21
515;LA BRITANICA;21
516;DIVISADERO;17
517;YACOCHUYA;17
518;EL PASO;17
519;LAS CONCHAS;17
520;CAFAYATE;17
521;SANTA BARBARA;17
522;TOLOMBOM;17
523;OJEDA;11
524;ALTA ITALIA;11
525;CAMPO GALLO;22
526;CAITA TORO;16
527;CHANQUIN;16
528;SAN ANTONIO;9
529;ISLA OCA;9
530;COLONIA FORMOSA;9
531;LA COLONIA;9
532;FORMOSA;9
533;GARRIDO;1
534;LAVALLE;1
535;EL EDEN;1
536;LA LOMA;1
537;PIERES;1
538;EL MORO;1
539;LA GUITARRA;1
540;NAPALEOFU;1
541;LA ALIANZA;1
542;SANTA MARIA;1
543;EL PAMPERO;1
544;PUERTA DEL DIABLO;1
545;LA FLORESTA;1
546;ARENAS VERDES;1
547;LA MALACARA;1
548;SAN PASCUAL;1
549;DOS NACIONES;1
550;SAN MANUEL;1
551;LA PROVIDENCIA;1
552;LAS TOSCAS;1
553;LAS NUTRIAS;1
554;LAHORE;1
555;TOME Y TRAIGA;1
556;LOBERIA;1
557;EL LENGUARAZ;1
558;LA BODEGA;1
559;TAMANGUEYU;1
560;LICENCIADO MATIENZO;1
561;SAN ANTONIO;1
562;MOROMAR;1
563;ALTO EL BOLSON;3
564;LAS CUEVAS;3
565;CORRAL BLANCO;3
566;LAGUNA BLANCA;3
567;BARRANCA LARGA;3
568;VILLA VIL;3
569;SAN IGNACIO LOTEO VELEZ CRESPO;6
570;SANTA MONICA;6
571;SANTA ROSA DE CALAMUCHITA;6
572;ARROYO SECO;6
573;CAMPANA MAHUIDA;16
574;ARROYO LOS BERROS;16
575;LAS HERAS;20
576;COLONIA LA SARITA;8
577;RINCON LUCAS SUD;8
578;VISTA ALEGRE NORTE;15
579;VISTA ALEGRE SUR;15
580;BARRIO RUCA LUHE;15
581;MUYO;24
582;ALPACHIRI;24
583;LAS LENGUAS;24
584;EL MOLINO;24
585;COCHUNA;24
586;LA CALERA;24
587;LAS PAVAS;24
588;POSTA CAMBIO ZALAZAR;9
589;PASO FLORES;16
590;EL SOMBRERO;7
591;LA MARTA;7
592;SAN GREGORIO;7
593;SAN ISIDRO;7
594;PASO SAN JUAN;7
595;PASO LOS ANGELES;7
596;ISLA TALAR;7
597;LA CUCUCHA;7
598;BUENA ESPERANZA;7
599;STELLA MARIS;7
600;SAN MARTIN;7
601;EL QUEBRACHO;7
602;ESTANCIA SANTA RITA;7
603;CAMPO MORATO;7
604;SAN ANTONIO;7
605;RINCON DEL PAGO;7
606;INVERNADA;7
607;PAGO DE LOS DESEOS;7
608;COLONIA 3 DE ABRIL;7
609;EL ESPINILLO;4
610;AGUAS BLANCAS;17
611;COLONIA TERESA;21
612;CUBANEA;16
613;CHIPAUQUIL;16
614;PILO LIL;15
615;GUANACOS;15
616;LOS CHANARITOS;6
617;DONA LUISA;22
618;SABAGASTA;22
619;NUEVA POMPEYA;4
620;ALDEA APELEG;5
621;CAMPO PIAGGIO;21
622;LAPACHITO;4
623;COLONIAS UNIDAS;4
624;LOS TALARES;6
625;LA RANCHERITA;6
626;COLONIA CAROLINA;7
627;COLONIA ISABEL VICTORIA;7
628;VILLA OLIVARI;7
629;COLONIA PANDO;7
630;COLONIA PEREIRA;8
631;COLONIA SAN ANSELMO;8
632;MOLINO DOLL;8
633;COLONIA OFICIAL 16;8
634;COLONIA AYMAN;8
635;BANDERITAS;8
636;COLONIA LA BERTA;8
637;COLONIA SAN LORENZO;8
638;COLONIA LA MARTA;8
639;DIEGO LOPEZ;8
640;COLONIA LA LATA;8
641;COLONIA SANTA LUCIA;8
642;COLONIA OFICIAL 18;8
643;LAS MULITAS;8
644;ARROYO SEPULTURA;8
645;ARROYO LAS LECHIGUANAS;8
646;PASTOR BRITOS;8
647;RINCON DEL GATO;8
648;PERDICES;8
649;DISTRITO PERDICES;8
650;NANCAY;8
651;LA PROVIDENCIA;8
652;COLONIA EL SAUCESITO;8
653;CRUCESITAS;8
654;ORO VERDE;8
655;ARROYO CORRALITO;8
656;ALDEA SANTA ROSA;8
657;ARROYO GRANDE;8
658;COLONIA OFICIAL N° 5;8
659;COLONIA SAN MARTIN;8
660;ESTANCIA LA SILVIA;8
661;COLONIA SAGASTUME;8
662;COLONIA SAN RAMON;8
663;SAN CIPRIANO;8
664;LAS ACHIRAS;8
665;LOS CEIBOS;8
666;DISTRITO CHILCAS;8
667;DISTRITO HINOJAL;8
668;RINCON DEL DOLL;8
669;MONTOYA;8
670;COLONIA ADIVINOS;8
671;EL CHAJARI;8
672;PICHI MAHUIDA;16
673;MINA 3;20
674;MAUA;21
675;LA POTASA;21
676;DOS ROSAS Y LA LEGUA;21
677;LA DARSENA;22
678;SAN RAMON;22
679;EL ZANJON;22
680;VILLA MATOQUE;22
681;GUAMPACHA;22
682;VILLA GUASAYAN;22
683;POZO DEL TOBA;22
684;QUEBRACHO COTO;22
685;VILLA ROBLES;22
686;SIMOCA;24
687;SOLDADO MALDONADO;24
688;LOS PEREYRA NORTE;24
689;SOL DE MAYO;22
690;JUANILLO;22
691;PUNTA POZO;22
692;EL AIBE;22
693;ABRA GRANDE;22
694;REMES;22
695;SAN BENITO;22
696;EL DEAN;22
697;SAN VICENTE;22
698;SANTA CATALINA;22
699;SANTA MARIA;22
700;CASPI CORRAL;22
701;VACA HUANUNA;22
702;CANAL MELERO;22
703;LA SIMONA;22
704;LA NENA;22
705;TRES CRUCES;22
706;YUCHAN;22
707;LA NORIA;22
708;SAUCE SOLO;22
709;AMAMA;22
710;VILLA BRANA;22
711;LIBERTAD;22
712;NEGRA MUERTA;22
713;KM 49;22
714;CAMPO GRANDE;22
715;VILLA MERCEDES;22
716;SANTO DOMINGO;22
717;AMICHA;22
718;LEZCANOS;22
719;LOS OVEJEROS;22
720;SOTELOS;22
721;LOS ROMANOS;22
722;VILLA HIPOLITA;22
723;VACA HUMAN;22
724;TIO POZO;22
725;VILLA NUEVA;22
726;HUACHANA;22
727;SUMAMAO;22
728;AHI VEREMOS;22
729;POZO DEL ARBOLITO;22
730;COLONIA PUENTE DEL GUALEG;8
731;COLONIA LAS PEPAS;8
732;COLONIA SANTA ROSA;8
733;SAN MIGUEL;8
734;COLONIA NUEVA SAN MIGUEL;8
735;ROLDAN;22
736;SAN ANTONIO;22
737;PUNTA DEL MONTE;8
738;EL HOYON;22
739;POZO AZUL;14
740;NUESTRA SENORA DE ITATI;14
741;DURAN;14
742;TRES VECINOS;14
743;FORESTAL SAN ANTONIO;14
744;DISTRITO TALA;8
745;LAGO MELIQUINA;15
746;AHI VEREMOS;22
747;EL SAUZAL;22
748;COLONIA ABORIGEN CHACO;4
749;COLONIA ABORIGEN;4
750;ATOJ POZO;22
751;VUELTA DE LA BARRANCA;22
752;COLONIA REFFINO;8
753;ESTACION YUQUERI;8
754;LOMA LIMPIA;8
755;EL GATO;8
756;COLONIA OFICIAL N 13;8
757;GONZALEZ CALDERON;8
758;LAS TOSCAS;8
759;CRUCESITAS TERCERA;8
760;DISTRITO COSTA URUGUAY SUR;8
761;MONTE REDONDO;8
762;LAS TUNAS;8
763;SAUCE SUD;8
764;LOS CAJONES;19
765;LAS BARRANCAS;19
766;LAS ISLITAS;19
767;SANTA ANA;19
768;BALDE DE ESCUDERO;19
769;LAS PALOMAS;19
770;COLONIA CECILIO ECHEVERRIA;7
771;CAZADORES CORRENTINOS;7
772;LAS GRUTAS;16
773;CAMPO HARDY;21
774;LOS TABANOS;21
775;EL CRUCERO;22
776;SALTO ENCANTADO;14
777;ALGARROBAL;7
778;CERNA;7
779;COSTA SANTA LUCIA;7
780;9 DE JULIO;7
781;COLONIA JUAN RAMON VIDAL;7
782;ARROYO VENTANA;16
783;CANADA SECA;1
784;SAN GENARO;1
785;LOS LAURELES;1
786;MASSEY;1
787;ESTANCIA EL MERIDIANO;1
788;GENERAL VILLEGAS;1
789;COLONIA LA BELITA;1
790;LA JOSEFA;1
791;GONDRA;1
792;VILLA CICLON;1
793;MOORES;1
794;CAMPOS FRIA;1
795;PICHINCHA;1
796;DRABBLE;1
797;EL RECAO;1
798;SAN JOSE;1
799;ESCUELA AGRARIA;1
800;FORTIN REPUBLICA;1
801;LA MARGARITA;1
802;ESTACION MILLACO;1
803;VILLA SABOYA;1
804;EL DIA;1
805;CUARTEL II;1
806;CORONEL CHARLONE;1
807;PIEDRITAS;1
808;VILLA SAUZE;1
809;LA CATALINA;1
810;SANTA ELEODORA;1
811;TAMBEROS UNIDOS;1
812;LOS ANGELES;1
813;EMILIO V. BUNGE;1
814;BANDERALO;1
815;VOLTA;1
816;CAMPESINOS UNIDOS;1
817;SANTA REGINA;1
818;LA TRADICION;1
819;CANNING;1
820;LUIS GUILLON;1
821;9 DE ABRIL;1
822;MONTE GRANDE;1
823;EL JAGUEL;1
824;VILLA HUIDOBRO;6
825;LA JUANITA;8
826;LA JAULA;8
827;COLONIA ENSAYO;8
828;LOS CERRILLOS;1
829;FUNKE;1
830;SAN MIGUEL DEL MONTE;1
831;LA ELINA;1
832;SAN GENARO;1
833;ABBOTT;1
834;SANTA MARIA;1
835;EL ROSARIO;1
836;EL SIASGO;1
837;ZENON VIDELA DORNA;1
838;GOYENECHE;1
839;SAN MARCELO;1
840;EL DORADO;1
841;LA COSTA;1
842;MAHON;1
843;SANTO DOMINGO;21
844;TRES CAPONES;14
845;LAS TUNAS;14
846;COLONIA SANTA ELOISA;8
847;VILLA DEL ROSARIO;8
848;MANFREDI;6
849;LAS TINAJAS;22
850;ARAUCO;12
851;AIMOGASTA;12
852;UDPINANGO;12
853;LA CAUCHITA;12
854;TINOCAN;12
855;LA CIMBRITA;12
856;TERMAS DE SANTA TERESITA;12
857;SAN ANTONIO;12
858;ESTACION MAZAN;12
859;VILLA MAZAN;12
860;BANADO DE LOS PANTANOS;12
861;MACHIGASTA;12
862;LA CANCHITA;12
863;CUESTA BLANCA;6
864;TRES LOMAS;1
865;EL PANTANOSO;1
866;SAN SILVERIO;1
867;LOS CARDOS;1
868;BALCARCE;1
869;LA SARA;1
870;EL GLIPTODONTE;1
871;TRES ESQUINAS;1
872;ALELUYA;1
873;BOSCH;1
874;COLONIA BALCARCE;1
875;SAN SIMON;1
876;BELLA VISTA;1
877;EL CAPRICHO;1
